Ranked list of top compounds using CMAP dataset
Rank	Score	Type	ID	Name	Description
4	98.45	cp	BRD-K94176593	TWS-119	Glycogen synthase kinase inhibitor
8	97.71	cp	BRD-K19540840	saracatinib	SRC inhibitor
9	97.46	cp	BRD-K02130563	panobinostat	HDAC inhibitor
13	96.44	cp	BRD-K20285085	fostamatinib	SYK inhibitor
23	95.66	cp	BRD-K71823332	epothilone-a	Microtubule stabilizing agent
29	95.29	cp	BRD-K09485525	GANT-61	GLI antagonist
42	94.18	cp	BRD-K92093830	doxorubicin	Topoisomerase inhibitor
47	93.35	cp	BRD-K21680192	mitoxantrone	Topoisomerase inhibitor
49	93.16	cp	BRD-K05104363	PD-184352	MEK inhibitor
50	93.05	cp	BRD-U44618005	WH-4023	SRC inhibitor
52	92.78	cp	BRD-K12867552	THM-I-94	HDAC inhibitor
54	92.66	cp	BRD-K49328571	dasatinib	BCR-ABL kinase inhibitor
68	90.21	cp	BRD-K89162000	tandutinib	FLT3 inhibitor
72	89.5	cp	BRD-K50384076	7,4'-dihydroxyflavone	Opioid receptor antagonist
73	89.39	cp	BRD-K11927976	ER-27319	Mediator release inhibitor
74	89.35	cp	BRD-K04548931	pidorubicine	Topoisomerase inhibitor
80	88.76	cp	BRD-K82688027	RG-13022	PDGFR receptor inhibitor
83	88.14	cp	BRD-K46056750	AZD-7762	CHK inhibitor
85	88.1	cp	BRD-A36630025	SN-38	Topoisomerase inhibitor
88	87.92	cp	BRD-K73293050	WZ-3146	EGFR inhibitor
95	87	cp	BRD-A02481876	importazole	Importin-beta transport receptor inhibitor
96	86.89	cp	BRD-A22684332	procaterol	Adrenergic receptor agonist
100	86.73	cp	BRD-U37049823	HG-6-64-01	RAF inhibitor
106	86.04	cp	BRD-K68202742	trichostatin-a	HDAC inhibitor
110	85.52	cp	BRD-A85860691	chaetocin	Histone lysine methyltransferase inhibitor
112	85.14	cp	BRD-K23192422	lestaurtinib	FLT3 inhibitor
122	83.48	cp	BRD-K50168500	canertinib	EGFR inhibitor
127	82.92	cp	BRD-K17743125	belinostat	HDAC inhibitor
128	82.77	cp	BRD-K98684188	GSK-0660	PPAR receptor antagonist
129	82.75	cp	BRD-A30437061	camptothecin	Topoisomerase inhibitor
132	82.68	cp	BRD-K87909389	alvocidib	CDK inhibitor
136	82.39	cp	BRD-K12502280	TG-101348	FLT3 inhibitor
139	82.01	cp	BRD-K14920963	erythrosine	Coloring agent
141	81.3	cp	BRD-K08554278	bisbenzimide	DNA binding agent
142	81.29	cp	BRD-A89434049	sarmentogenin	ATPase inhibitor
146	80.84	cp	BRD-A43882281	pinacidil	ATP channel activator
152	80.18	cp	BRD-A74904029	EI-231	Casein kinase inhibitor
157	79.83	cp	BRD-K50018155	RS-67506	Serotonin receptor partial agonist
165	79.03	cp	BRD-K47598052	PP-1	SRC inhibitor
167	78.92	cp	BRD-K30189597	SYK-inhibitor	SYK inhibitor
168	78.9	cp	BRD-A47706533	L-BSO	Glutathione transferase inhibitor
170	78.86	cp	BRD-K63784565	BRD-K63784565	Topoisomerase inhibitor
175	78.52	cp	BRD-K06014311	DH-97	Melatonin receptor antagonist
177	78.44	cp	BRD-K64606589	apicidin	HDAC inhibitor
183	78.13	cp	BRD-K49865102	PD-0325901	MEK inhibitor
191	77.24	cp	BRD-A51410489	yohimbine	Adrenergic receptor antagonist
196	76.98	cp	BRD-A48237631	mitomycin-c	DNA alkylating agent
213	75.96	cp	BRD-K13514097	everolimus	MTOR inhibitor
214	75.7	cp	BRD-A15914070	4-hydroxy-2-nonenal	Cytotoxic lipid peroxidation product
220	75.4	cp	BRD-K14791739	fluticasone	Glucocorticoid receptor agonist
221	75.35	cp	BRD-A39646320	HC-toxin	HDAC inhibitor
223	75.08	cp	BRD-K57080016	selumetinib	MEK inhibitor
225	74.93	cp	BRD-K76674262	homoharringtonine	Protein synthesis inhibitor
230	74.48	cp	BRD-K12120659	GR-144053	Integrin antagonist
238	74.07	cp	BRD-A16478930	amcinonide	Glucocorticoid receptor agonist
241	73.87	cp	BRD-K01493881	apigenin	Casein kinase inhibitor
251	73.28	cp	BRD-K54330070	SB-202190	p38 MAPK inhibitor
253	73.19	cp	BRD-A79237180	ascorbic-acid	Antioxidant
257	72.9	cp	BRD-A70449690	forskolin	Adenylyl cyclase activator
258	72.71	cp	BRD-K78659596	MLN-2238	Proteasome inhibitor
264	72.11	cp	BRD-A78391468	prednisolone	Glucocorticoid receptor agonist
265	71.86	cp	BRD-K31283835	tofacitinib	JAK inhibitor
266	71.84	cp	BRD-K18787491	U-0126	MEK inhibitor
268	71.28	cp	BRD-A13650332	flucloxacillin	Bacterial cell wall synthesis inhibitor
269	71.25	cp	BRD-K67102207	phenylbutyrate	HDAC inhibitor
